ParentSmiles,Status Influx,Status Efflux,Status PAMPA,Status BBB,Status CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,Testrain Influx,Testrain PAMPA,Testin CNS,Testain BBB,Testrain Efflux,Efflux Prediction Properties,Efflux Probability Properties,PAMPA Prediction Properties,PAMPA Probability Properties,BBB Prediction Properties,BBB Probability Properties,CNS Prediction Properties,CNS Probability Properties,Influx Prediction Properties,Influx Probability Properties,Efflux Prediction Fingerprints,Efflux Probability Fingerprints,PAMPA Prediction Fingerprints,PAMPA Probability Fingerprints,BBB Prediction Fingerprints,BBB Probability Fingerprints,CNS Prediction Fingerprints,CNS Probability Fingerprints,Influx Prediction Fingerprints,Influx Probability Fingerprints
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,1.0,NaN,NaN,NaN,NaN,6.98,95.72,-5.95,4.94,4,2,585.2104426919999,12,Train,NaN,NaN,NaN,NaN,0,0.3868958353996277,1,0.9950416684150696,0,0.23955656588077545,0,0.000812118174508214,1,0.8395152688026428,0,0.16311125457286835,0,0.38665661215782166,1,0.6493740081787109,0,0.005578425247222185,1,0.9508697390556335
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1.0,0.0,NaN,NaN,NaN,3.63,149.69,-1.75,0.22,7,3,398.06849054800006,6,Train,NaN,NaN,NaN,Train,1,0.502967894077301,1,0.6775205135345459,1,0.6909064054489136,1,0.7190728187561035,1,0.9901753067970276,0,0.4871293008327484,1,0.5247600674629211,0,0.08493266999721527,1,0.8437329530715942,1,0.9395396113395691
CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=NNc1cccc(-c2cccc(C(=O)O)c2)c1O,1.0,NaN,NaN,NaN,NaN,4.22,114.59,-2.39,0.59,6,3,442.164105184,5,Test,NaN,NaN,NaN,NaN,1,0.9006308317184448,1,0.7266091704368591,0,0.3220994472503662,0,0.008676712401211262,0,0.25311726331710815,1,0.7777290940284729,1,0.7951998114585876,0,0.030792636796832085,0,0.007825053296983242,0,0.0014053615741431713
O=C(O)C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2cccc(F)c2)c1C1CC1,1.0,NaN,NaN,NaN,NaN,1.92,124.68,-1.33,-1.15,6,4,513.2075274680001,12,Train,NaN,NaN,NaN,NaN,1,0.992803156375885,0,0.003956200089305639,0,0.062447503209114075,0,0.0011370958527550101,1,0.884934663772583,1,0.8882352113723755,1,0.6100413799285889,1,0.5338081121444702,0,0.0027396478690207005,1,0.9628586173057556
O=C(O)[C@H]1O[C@@H](Oc2ccc([C@@H]3[C@@H](CC[C@H](O)c4ccc(F)cc4)C(=O)N3c3ccc(F)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1.0,1.0,NaN,NaN,NaN,1.59,156.99,-0.92,-2.38,8,5,585.181037948,9,Train,NaN,NaN,NaN,Test,1,0.9648309350013733,0,0.05950380116701126,0,0.043477367609739304,0,0.001794629730284214,1,0.9843368530273438,1,0.9965764880180359,0,0.05519194155931473,0,0.06887611746788025,0,0.0019566817209124565,1,0.9435621500015259
CC#CCC(C)[C@H](O)C=C[C@@H]1[C@H]2CC(=CCCCC(=O)O)C[C@H]2C[C@H]1O,1.0,NaN,NaN,NaN,NaN,4.19,77.76,-1.03,0.99,3,3,360.23005950399994,8,Train,NaN,NaN,NaN,NaN,1,0.9023105502128601,1,0.938927173614502,1,0.9901219010353088,0,0.006871902383863926,1,0.9065857529640198,1,0.9744338989257812,0,0.1160053014755249,0,0.06321815401315689,0,0.0035475161857903004,1,0.9421653747558594
CCCCC[C@H](O)C=C[C@H]1OC(O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,1.0,1.0,NaN,NaN,NaN,1.91,107.22,0.08,-0.63,5,4,370.23553880800006,12,Train,NaN,NaN,NaN,Train,1,0.9869541525840759,0,0.03709641471505165,0,0.3544735014438629,0,0.001106511801481247,1,0.9534716010093689,1,0.997376561164856,1,0.7842790484428406,0,0.3953741788864136,0,0.000592957716435194,1,0.9797653555870056
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,0.0,1.0,NaN,NaN,0.0,0.02,213.28,-0.99,-6.37,9,6,441.13968132800005,9,Test,NaN,Train,NaN,Train,1,0.9783532023429871,0,0.009136604145169258,0,0.03419758379459381,0,8.993531810119748e-05,0,0.05529553070664406,1,0.9974139928817749,0,0.14957085251808167,0,0.4096267521381378,0,0.0029762631747871637,0,0.41484779119491577
Nc1nc(=O)c2c(NC[C@H](CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)N2C=O)[nH]1,0.0,NaN,NaN,NaN,0.0,-1.49,219.84,-0.82,-7.03,9,7,473.16589607599997,10,Train,NaN,Train,NaN,NaN,1,0.9314719438552856,0,0.0030966587364673615,0,0.1649221032857895,0,0.0003334576904308051,0,0.018423816189169884,1,0.995164155960083,0,0.4220791161060333,1,0.8233357071876526,0,0.007753295358270407,0,0.016678163781762123
CN1c2c(NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)[nH]c(N)nc2=O,0.0,1.0,NaN,NaN,0.0,-0.6,202.77,-2.94,-5.09,9,7,459.18663152,9,Train,NaN,Train,NaN,Train,1,0.9593508839607239,0,0.01987845078110695,0,0.2816447615623474,0,0.00011541650019353256,0,0.0069626085460186005,1,0.9922834038734436,0,0.24566972255706787,1,0.7014076113700867,0,0.00597654702141881,0,0.01068044826388359
COc1ccccc1Oc1c(OCCO)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)CO)cc1,0.0,NaN,NaN,NaN,NaN,2.99,174.26,-3.04,0.38,11,3,567.1787692680001,12,Train,NaN,NaN,NaN,NaN,0,0.436093807220459,0,0.02732105366885662,0,0.004876357037574053,0,0.0005520680570043623,0,0.035168662667274475,1,0.7403334975242615,1,0.9987886548042297,1,0.799502432346344,0,0.004768474027514458,0,0.18412426114082336
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc12,0.0,NaN,NaN,NaN,NaN,4.76,75.99,-4.17,3.88,5,2,332.06847348400004,0,Train,NaN,NaN,NaN,NaN,1,0.9572396874427795,1,0.8703873753547668,1,0.9506866335868835,0,0.021667681634426117,0,0.00030800048261880875,1,0.9830811619758606,1,0.9854446053504944,0,0.31412985920906067,0,0.03783315792679787,0,0.0017050884198397398
Cc1c(C)c2c(CCC(C)(COc3ccc(Cc4c(O)[nH]c(=O)s4)cc3)O2)c(C)c1OS(=O)(=O)O,0.0,NaN,NaN,NaN,NaN,0.43,165.07,-2.36,-1.05,8,3,521.1178088239999,7,Test,NaN,NaN,NaN,NaN,1,0.7914144992828369,0,0.006336030084639788,0,0.4447161555290222,0,0.0010774497641250491,0,0.08213836699724197,1,0.7177948951721191,0,0.33862215280532837,0,0.23558010160923004,0,0.012303556315600872,0,0.00833886954933405
CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.0,0.0,NaN,NaN,0.0,-4.17,412.03,-0.04,-8.48,18,16,1092.6430621160002,23,Train,NaN,Test,NaN,Train,0,0.3959250748157501,0,0.006103726103901863,0,0.007153869140893221,0,0.0005962549475952983,0,0.1552407592535019,0,0.11301660537719727,1,0.8021463751792908,0,0.02089213952422142,0,0.0005661321920342743,0,0.007116158027201891
